id,name,photo
990044,Musselburgh,https://images4-g.ravelrycache.com/uploads/bleideag/843319485/qing-musselburgh-shopify_social-4_medium.jpg
899479,Classic Ribbed Hat,https://images4-g.ravelrycache.com/uploads/purlsoho/947081945/Classic_Ribbed_Hat_KAL_CMB-139-600_medium.jpg
1353734,Alpine Bloom Hat,https://images4-g.ravelrycache.com/uploads/boylandknitworks/938474365/IMG_7112_medium.jpg
528611,Classic Cuffed Hat,https://images4-f.ravelrycache.com/uploads/purlsoho/260175214/classic-cuffed-hats-wt-600-21_medium.jpg
7340640,The Traveler Hat,https://images4-f.ravelrycache.com/uploads/dreareneeknits/994193682/5J6A6404_medium.png
905506,February Hat,https://images4-g.ravelrycache.com/uploads/KelbourneWoolens/607653862/February_Hat_7_square_sm_medium.jpg
1213476,Manhattan Hat,https://images4-g.ravelrycache.com/uploads/Toriyu/949162629/IMG_3526_medium.jpeg
970741,October Hat,https://images4-g.ravelrycache.com/uploads/KelbourneWoolens/661245772/October_Hat_9_square_medium.jpg
1285536,My Baker's Hat,https://images4-f.ravelrycache.com/uploads/emilyrussell/884991671/IMG_20221102_165208_298_medium.jpg
44131,Berry Baby Hat,https://images4-g.ravelrycache.com/uploads/msabatier/523207816/20489022_9bc8a566e7_b_medium.jpg
235545,Basic Baby Hat,https://images4-g.ravelrycache.com/uploads/EgyptianWoman/58032434/basicbabyhat2_medium.jpg
585110,Quick Ombré Hat,https://images4-f.ravelrycache.com/uploads/MooMooCow/307339237/ombre_hats_medium.jpg
634269,Copy.Cat C.C beanie,https://images4-g.ravelrycache.com/uploads/ashysc/414338512/14128637_813044728835294_8784967703996661760_n_medium.jpg
1267443,Pressed Flowers Hat,https://images4-f.ravelrycache.com/uploads/savoryknitting/873306921/IMG_6207_medium.JPG
226359,Rikke Hat,https://images4-f.ravelrycache.com/uploads/sarahknitshappy/53039138/2d8ngpj_medium.jpg
1197840,Harlow Worsted,https://images4-f.ravelrycache.com/uploads/dreareneeknits/822590810/worstedharlow1_medium.jpg
1139951,Flicker & Flame,https://images4-g.ravelrycache.com/uploads/dreareneeknits/784831261/5J6A3708_medium.jpg
645417,Citrus Hat,https://images4-g.ravelrycache.com/flickr/2/0/8/20804293176/20804293176.jpg
836305,Harlow,https://images4-f.ravelrycache.com/uploads/dreareneeknits/523520479/untitled-77_medium.jpg
913760,March Hat,https://images4-g.ravelrycache.com/uploads/KelbourneWoolens/614116192/March_Hat_6_medium.jpg
1085663,Watch Cap + Mitts,https://images4-g.ravelrycache.com/uploads/purlsoho/742156451/Watchman-CapMitten-SY-600-25_medium.jpg
282031,Graham,https://images4-f.ravelrycache.com/uploads/jenleigh/93896480/IMG_8516_medium.jpg
1204600,Sea Glass Hat,https://images4-f.ravelrycache.com/uploads/WoolandPine/827338147/A8AB673E-7439-48BC-A679-3F754B7985FB_medium.jpeg
554979,Stashbusting Helix Hats,https://images4-g.ravelrycache.com/uploads/RoseKimKnits/322758492/11910079_161337424204184_99323482_n_medium.jpg
213141,Man Hat,https://images4-g.ravelrycache.com/uploads/hvnlvt/277240348/image_medium.jpg
497242,Squarshy Hat,https://images4-f.ravelrycache.com/uploads/alaina9/235972249/squarshy_hat_5_medium.JPG
930451,Shiftalong,https://images4-f.ravelrycache.com/uploads/dreareneeknits/626885996/IMG_1427_medium.jpg
75857,Turn A Square,https://images4-f.ravelrycache.com/uploads/brooklyntweed/779548262/Turn_a_Square_by_Jared_Flood_BT_by_Brooklyn_Tweed_COVER_rav_medium.jpg
